The 100 Best SNES Games Ever (http://www.sydlexia.com/top100snes.htm)

#1: The Legend of Zelda: A Link to the Past
#2: Super Metroid
#3: Final Fantasy III
#4: Super Mario World
#5: Super Mario RPG: Legend of the Seven Stars
#6: Chrono Trigger
#7: Mega Man X
#8: Final Fantasy II
#9: EarthBound
#10: Street Fighter II Turbo: Hyper Fighting
#11: Super Castlevania IV
#12: Secret of Mana
#13: ActRaiser
#14: Contra III: The Alien Wars
#15: Super Mario World 2: Yoshi's Island
#16: Donkey Kong Country
#17: Star Fox
#18: Super Mario Kart
#19: Donkey Kong Country 2: Diddy's Kong Quest
#20: Mortal Kombat II
#21: Breath of Fire II
#22: Illusion of Gaia
#23: F-Zero
#24: Zombies Ate My Neighbors
#25: Teenage Mutant Ninja Turtles IV: Turtles In Time
#26: Super Punch-Out!!
#27: Mega Man X2
#28: Soul Blazer
#29: Ogre Battle: The March of the Black Queen
#30: Secret of Evermore
#31: SimCity
#32: Spider-Man & Venom: Maximum Carnage
#33: Mega Man X3
#34: Killer Instinct
#35: Mario Paint
#36: Super Smash TV
#37: Super R-Type
#38: Earthworm Jim
#39: Shadowrun
#40: Lufia and the Fortress of Doom
#41: Sparkster
#42: Kirby Super Star
#43: Super Star Wars
#44: Super Mario All-Stars
#45: Super Bomberman
#46: Final Fight
#47: Pilotwings
#48: The Legend of the Mystical Ninja
#49: EVO: Search For Eden
#50: Lufia II: Rise of the Sinistrals
#51: Mega Man 7
#52: Gradius III
#53: Super Ghouls 'n Ghosts
#54: Super Bomberman 2
#55: Battletoads in Battlemaniacs
#56: Super Street Fighter II: The New Challengers
#57: Jurassic Park
#58: Mortal Kombat 3
#59: R-Type III: The Third Lightning
#60: Super Double Dragon
#61: Harvest Moon
#62: WWF Royal Rumble
#63: Tecmo Super Bowl III: Final Edition
#64: Pocky & Rocky
#65: Cybernator
#66: ActRaiser 2
#67: Knights of the Round
#68: Castlevania: Dracula X
#69: Demon's Crest
#70: Donkey Kong Country 3: Dixie Kong's Double Trouble!
#71: Breath of Fire
#72: NBA Jam
#73: Super Star Wars: The Empire Strikes Back
#74: King of the Monsters
#75: Super Adventure Island
#76: X-Men: Mutant Apocalypse
#77: Uniracers
#78: Super Scope 6
#79: The Adventures of Batman & Robin
#80: Super Turrican
#81: Tiny Toon Adventures: Buster Busts Loose
#82: WCW SuperBrawl Wrestling
#83: Batman Returns
#84: Saturday Night Slam Masters
#85: Disney's Aladdin
#86: Desert Strike: Return to the Gulf
#87: Street Fighter II: The World Warrior
#88: Earthworm Jim 2
#89: Mega Man Soccer
#90: Super Star Wars: Return of the Jedi
#91: Sunset Riders
#92: Secret of the Stars
#93: Final Fantasy: Mystic Quest
#94: Tetris Attack
#95: Out of This World
#96: Ys III: Wanderers from Ys
#97: Super Adventure Island II
#98: The Death And Return Of Superman
#99: Stunt Race FX
#100: NHL '94
